twoPtPassId,playId,teamId,playerId,twoPtPassPosition,twoPtPassConv,twoPtPassSack,twoPtPassComp,twoPtPassNull
14453141,14013119,610,20140164,QB,failed,0,0,0
14453142,14013140,610,20140164,QB,failed,0,0,0
14453143,14013317,2200,20170615,QB,failed,0,0,0
14453144,14013402,1050,20180001,QB,failed,0,1,1
14453145,14013846,3300,20170562,QB,failed,0,0,0
14453146,14013959,3300,20180617,QB,failed,0,0,0
14453147,14014879,2250,20180203,QB,failed,0,0,0
14453148,14014884,2250,20180203,QB,failed,0,0,0
14453183,14016706,3800,20100001,QB,failed,0,0,0
14453184,14016822,325,20080018,QB,failed,0,0,0
14453185,14018010,4400,20040004,QB,failed,0,0,0
14453186,14018076,4400,20040004,QB,good,0,1,0
14453187,14018799,3300,20010032,QB,good,0,1,0
14453228,14021287,325,20080018,QB,failed,0,0,0
14453229,14021792,3000,20120102,QB,good,0,1,0
14453230,14022078,2510,20160001,QB,good,0,1,0
14453231,14022518,3900,20040011,QB,good,0,1,0
14453273,14025008,200,20080003,QB,good,0,1,0
14453274,14025027,200,20080003,QB,good,0,1,0
14453275,14025521,1050,20180001,QB,failed,1,0,1
14453276,14025522,1050,20140063,WR,good,0,1,0
14453277,14025849,2120,20170012,QB,failed,0,1,0
14453278,14026158,4500,20140062,QB,good,0,1,0
14453279,14026658,3000,20120102,QB,failed,0,0,0
14453318,14029091,200,20080003,QB,failed,0,1,0
14453319,14029138,920,20110035,QB,failed,0,0,0
14453320,14029933,2200,20120001,QB,failed,0,0,0
14453321,14029955,2200,20120001,QB,good,0,1,0
14453322,14030130,3430,20180003,QB,failed,0,0,0
14453323,14030160,2250,20140003,QB,failed,0,0,0
14453324,14030236,4400,20040004,QB,good,0,1,0
14453325,14030441,3000,20120102,QB,good,0,1,0
14453326,14030784,3410,20040001,QB,good,0,1,0
14453327,14030850,1050,20180001,QB,failed,0,0,0
14453328,14030995,2520,20140036,QB,good,0,1,0
14453329,14031098,3900,20040011,QB,good,0,1,0
14453363,14033164,3410,20040001,QB,good,0,1,0
14453364,14033651,1800,20050024,QB,good,0,1,0
14453365,14033674,1800,20050024,QB,failed,0,0,0
14453366,14034553,5110,20050001,QB,failed,0,0,0
14453367,14034727,1400,20120511,QB,failed,0,0,0
14453368,14035361,4500,20170104,QB,failed,0,0,0
14453369,14035394,4500,20170104,QB,failed,0,0,0
14453408,14037089,4900,20150001,QB,failed,0,0,0
14453409,14037289,3900,20040011,QB,failed,0,0,1
14453410,14037290,3900,20040011,QB,good,0,1,0
